Utheta:0,Utheta:1,Utheta:2,theta,arc_length
0.000239917,0,0,0.815909,0.03175
0.000239709,0,0,0.815124,0.0318
0.0002395,0,0,0.814334,0.03185
0.000239288,0,0,0.813539,0.0319
0.000239076,0,0,0.812739,0.03195
0.00023886,0,0,0.811934,0.032
0.000238645,0,0,0.811124,0.03205
0.000238426,0,0,0.810309,0.0321
0.000238207,0,0,0.809489,0.03215
0.000237985,0,0,0.808663,0.0322
0.000237762,0,0,0.807831,0.03225
0.000237537,0,0,0.806996,0.0323
0.000237311,0,0,0.806154,0.03235
0.000237082,0,0,0.805307,0.0324
0.000236851,0,0,0.804454,0.03245
0.000236619,0,0,0.803597,0.0325
0.000236384,0,0,0.802734,0.03255
0.000236149,0,0,0.801865,0.0326
0.000235911,0,0,0.80099,0.03265
0.000235671,0,0,0.800109,0.0327
0.000235429,0,0,0.799224,0.03275
0.000235185,0,0,0.798331,0.0328
0.00023494,0,0,0.797434,0.03285
0.000234692,0,0,0.79653,0.0329
0.000234443,0,0,0.795621,0.03295
0.000234191,0,0,0.794706,0.033
0.000233937,0,0,0.793784,0.03305
0.000233681,0,0,0.792857,0.0331
0.000233424,0,0,0.791923,0.03315
0.000233164,0,0,0.790983,0.0332
0.000232901,0,0,0.790037,0.03325
0.000232637,0,0,0.789084,0.0333
0.000232371,0,0,0.788126,0.03335
0.000232102,0,0,0.787161,0.0334
0.000231832,0,0,0.786188,0.03345
0.000231559,0,0,0.78521,0.0335
0.000231283,0,0,0.784226,0.03355
0.000231006,0,0,0.783234,0.0336
0.000230726,0,0,0.782236,0.03365
0.000230443,0,0,0.781231,0.0337
0.000230159,0,0,0.780219,0.03375
0.000229872,0,0,0.7792,0.0338
0.000229583,0,0,0.778175,0.03385
0.000229292,0,0,0.777142,0.0339
0.000228997,0,0,0.776102,0.03395
0.000228701,0,0,0.775055,0.034
0.000228402,0,0,0.774001,0.03405
0.0002281,0,0,0.77294,0.0341
0.000227796,0,0,0.77187,0.03415
0.000227489,0,0,0.770794,0.0342
0.00022718,0,0,0.76971,0.03425
0.000226868,0,0,0.768618,0.0343
0.000226554,0,0,0.767519,0.03435
0.000226236,0,0,0.766412,0.0344
0.000225916,0,0,0.765297,0.03445
0.000225594,0,0,0.764174,0.0345
0.000225268,0,0,0.763044,0.03455
0.00022494,0,0,0.761905,0.0346
